S.No.,Lane,Type,Entry,Exit,Time
1,1,3,0.93,4.37,3.44
2,1,3,10.77,16.27,5.5
3,1,3,16.33,21.97,5.64
4,1,3,32.2,36.37,4.17
5,1,4,34.2,41.17,6.97
6,1,6,35.9,50.2,14.3
7,1,3,44.3,49.97,5.67
8,1,3,53.67,58.47,4.8
9,1,3,56.67,61.43,4.76
10,1,2,59.13,65.4,6.27
11,1,3,59.83,66.4,6.57
12,1,1,63.23,67.9,4.67
13,1,6,64.37,71.03,6.66
14,1,2,65,72.37,7.37
15,1,6,80.17,94.17,14
16,1,3,86.63,91.2,4.57
17,1,3,87.03,92.97,5.94
18,1,2,121.7,127.33,5.63
19,1,1,123.03,128.53,5.5
20,1,3,125.7,130.27,4.57
21,1,1,129.43,135.5,6.07
22,1,5,133.27,144.9,11.63
23,1,3,134.47,139.37,4.9
24,1,2,146.67,153.13,6.46
25,1,3,151.07,156,4.93
26,1,3,151.6,157.4,5.8
27,1,2,153.4,159.23,5.83
28,1,1,154.27,162.83,8.56
29,1,2,175.33,183,7.67
30,1,3,177.77,184,6.23
31,2,7,184.2,192.9,8.7
32,2,3,185.93,189.67,3.74
33,2,3,187.43,192.4,4.97
34,1,1,192.9,197.77,4.87
35,1,5,199.63,213.96,14.33
36,1,3,204.93,212.2,7.27
37,1,3,206.5,212.67,6.17
38,1,3,207.37,214.93,7.56
39,1,3,218.1,224.17,6.07
40,1,3,227.73,233.07,5.34
41,1,3,229.1,237.07,7.97
42,1,3,231,236.07,5.07
43,1,2,237.83,243.2,5.37
44,1,2,242.63,246.9,4.27
45,1,1,250.3,254.07,3.77
46,1,1,251.57,255.4,3.83
47,1,3,264.2,269.5,5.3
48,1,1,276.43,280.13,3.7
49,1,3,283,286.33,3.33
50,2,2,294.17,300.37,6.2
51,2,1,295,303.3,8.3
52,1,3,298.77,303.59,4.82
53,1,3,314.67,319.07,4.4
54,1,3,322.07,327.13,5.06
55,1,3,326.77,331.97,5.2
56,2,2,345.3,349.23,3.93
57,2,3,363.13,369.27,6.14
58,1,2,383.33,386.73,3.4
59,1,4,392.9,399.13,6.23
60,1,1,396.13,401.27,5.14
61,1,3,399.83,403.73,3.9
62,1,3,402.23,405.97,3.74
63,1,3,406.37,411.03,4.66
64,2,2,409.42,413.19,3.77
65,1,3,415.13,418.8,3.67
66,2,6,416.47,422.2,5.73
67,2,6,423.63,430.33,6.7
68,2,1,427.6,433.63,6.03
69,2,3,460.4,466,5.6
70,1,2,462.23,466.4,4.17
71,1,3,466.07,471.03,4.96
72,1,2,472.83,477.37,4.54
73,1,3,483.47,488.07,4.6
74,1,2,496.23,501.03,4.8
75,1,1,502.87,506.9,4.03
76,1,3,539.63,543.23,3.6
77,1,7,545.43,554,8.57
78,1,3,547.53,554,6.47
79,1,3,549.7,555.03,5.33
80,1,3,554,559.97,5.97
81,1,3,556.53,562.47,5.94
82,1,3,586.83,592.33,5.5
83,2,2,594.93,598.87,3.94
84,1,3,597.9,601.93,4.03
85,1,1,604.6,609.8,5.2
86,1,7,608.3,622.17,13.87
87,1,7,623.77,632.5,8.73
88,1,3,623.77,627.9,4.13
89,1,2,634.4,639.27,4.87
90,1,1,644.3,648.07,3.77
91,1,2,648.87,654.83,5.96
92,1,1,649.73,655.97,6.24
93,1,7,653.67,661.9,8.23
94,1,3,676.83,680.37,3.54
95,1,3,678.93,682.87,3.94
96,1,3,678.93,683.03,4.1
97,1,2,682.07,686.2,4.13
98,1,1,694.73,700.4,5.67
99,1,2,695.43,699.93,4.5
100,1,4,700.63,705,4.37
101,1,2,702.5,706.83,4.33
102,1,3,703.37,707.13,3.76
103,1,4,721.27,736.27,15
104,1,1,723.2,727.6,4.4
105,2,2,726.6,732.13,5.53
106,2,3,734.17,739.5,5.33
107,1,5,734.37,749.37,15
108,1,3,736.5,741.17,4.67
109,1,1,737.4,742.87,5.47
110,1,1,744.53,753.73,9.2
111,2,5,756.9,766.07,9.17
112,1,2,758.3,763.93,5.63
113,1,6,759.3,773.6,14.3
114,2,3,760.83,768.27,7.44
115,2,3,768.27,775,6.73
116,1,6,770.63,784.63,14
117,1,1,773.53,782.07,8.54
118,1,1,779.77,785.67,5.9
119,1,3,782.53,787.47,4.94
120,1,1,786.6,790.16,3.56
121,1,4,791.4,797.43,6.03
122,1,2,798.97,803.07,4.1
123,1,3,803.77,809.87,6.1
124,1,1,807.27,813.07,5.8
125,2,3,811.7,819,7.3
126,1,3,812.8,816.87,4.07
127,1,2,824.87,829.2,4.33
128,2,5,838.43,843.43,5
129,1,3,843.83,849.43,5.6
130,1,2,851.23,856.5,5.27
131,1,2,874,877.83,3.83
132,2,3,879.53,885.23,5.7
133,1,2,889.37,893.33,3.96
